Timestamp [us]	AccX [m/s²]	AccY [m/s²]	AccZ [m/s²]	OmgX [rad/s]	OmgY [rad/s]	OmgZ [rad/s]	NRpyX [rad]	NRpyY [rad]	NRpyZ [rad]
4582474	 +0.017475	 +0.018398	 +0.024304	 +0.000892	 +0.000862	 +0.000811	 +3.067535	 +0.068978	 +0.191862
4587476	 +0.017466	 +0.018374	 +0.024314	 +0.000893	 +0.000863	 +0.000811	 +3.067029	 +0.068958	 +0.191854
4592475	 +0.017464	 +0.018386	 +0.024322	 +0.000893	 +0.000863	 +0.000811	 +3.066511	 +0.068937	 +0.191846
4597475	 +0.017463	 +0.018392	 +0.024324	 +0.000894	 +0.000864	 +0.000809	 +3.065980	 +0.068915	 +0.191837
4602475	 +0.017455	 +0.018407	 +0.024299	 +0.000893	 +0.000865	 +0.000809	 +3.065438	 +0.068893	 +0.191828
4602475	 +0.017455	 +0.018407	 +0.024299	 +0.000893	 +0.000865	 +0.000809	 +3.065438	 +0.068893	 +0.191828
4607475	 +0.017474	 +0.018359	 +0.024304	 +0.000894	 +0.000865	 +0.000809	 +3.064883	 +0.068871	 +0.191817
4612476	 +0.017468	 +0.018359	 +0.024303	 +0.000894	 +0.000867	 +0.000808	 +3.064316	 +0.068848	 +0.191807
4617475	 +0.017449	 +0.018367	 +0.024304	 +0.000896	 +0.000867	 +0.000808	 +3.063736	 +0.068825	 +0.191795
4622475	 +0.017449	 +0.018372	 +0.024307	 +0.000896	 +0.000867	 +0.000808	 +3.063144	 +0.068801	 +0.191783
4627475	 +0.017446	 +0.018365	 +0.024312	 +0.000898	 +0.000866	 +0.000808	 +3.062540	 +0.068777	 +0.191770
4632476	 +0.017459	 +0.018358	 +0.024289	 +0.000898	 +0.000866	 +0.000806	 +3.061923	 +0.068753	 +0.191757
4637475	 +0.017481	 +0.018369	 +0.024282	 +0.000898	 +0.000867	 +0.000805	 +3.061294	 +0.068728	 +0.191743
4642475	 +0.017466	 +0.018371	 +0.024300	 +0.000898	 +0.000868	 +0.000806	 +3.060653	 +0.068702	 +0.191728
4647476	 +0.017468	 +0.018422	 +0.024235	 +0.000894	 +0.000870	 +0.000810	 +3.059999	 +0.068676	 +0.191713
4652475	 +0.017456	 +0.018416	 +0.024272	 +0.000894	 +0.000871	 +0.000810	 +3.059334	 +0.068650	 +0.191697
4657475	 +0.017460	 +0.018415	 +0.024273	 +0.000894	 +0.000871	 +0.000810	 +3.058655	 +0.068623	 +0.191680
4662476	 +0.017503	 +0.018417	 +0.024262	 +0.000896	 +0.000872	 +0.000810	 +3.057965	 +0.068596	 +0.191663
4667475	 +0.017502	 +0.018440	 +0.024280	 +0.000896	 +0.000871	 +0.000809	 +3.057261	 +0.068568	 +0.191645
4672475	 +0.017516	 +0.018438	 +0.024264	 +0.000896	 +0.000871	 +0.000809	 +3.056546	 +0.068540	 +0.191627
4677498	 +0.017516	 +0.018411	 +0.024213	 +0.000896	 +0.000872	 +0.000809	 +3.055818	 +0.068511	 +0.191608
4682746	 +0.017500	 +0.018479	 +0.024213	 +0.000896	 +0.000873	 +0.000808	 +3.055080	 +0.068482	 +0.191583
4687746	 +0.017531	 +0.018482	 +0.024214	 +0.000896	 +0.000873	 +0.000809	 +3.054329	 +0.068452	 +0.191558
