Timestamp [us]	AccX [m/s²]	AccY [m/s²]	AccZ [m/s²]	OmgX [rad/s]	OmgY [rad/s]	OmgZ [rad/s]	NRpyX [rad]	NRpyY [rad]	NRpyZ [rad]	Vx [m/s]	Vy [m/s]	Vz [m/s]
4357475	 +0.032729	 +0.119290	 +9.658581	 -0.006127	 +0.001472	 -0.000778	 -3.078044	 -0.136081	 +1.497189	 +15.457068	 +14.972085	 -14.868350
4362475	 +0.032797	 +0.091164	 +9.648842	 -0.005944	 +0.002154	 -0.000244	 -3.078073	 -0.136125	 +1.497523	 +15.459192	 +14.982242	 -14.868252
4367475	 +0.037346	 +0.071098	 +9.663353	 -0.006864	 +0.002550	 +0.000591	 -3.078105	 -0.136171	 +1.497853	 +15.461213	 +14.992440	 -14.868217
4372475	 +0.025192	 +0.082339	 +9.663158	 -0.005717	 +0.002604	 +0.000107	 -3.078133	 -0.136217	 +1.498185	 +15.463283	 +15.002578	 -14.868190
4377475	 +0.026553	 +0.122336	 +9.700514	 -0.005826	 +0.001818	 -0.000211	 -3.078161	 -0.136260	 +1.498519	 +15.465541	 +15.012739	 -14.868361
4382475	 +0.042026	 +0.096727	 +9.709108	 -0.006635	 +0.002270	 -0.000126	 -3.078193	 -0.136305	 +1.498852	 +15.467673	 +15.022993	 -14.868554
4387476	 +0.044610	 +0.108570	 +9.730549	 -0.006342	 +0.002327	 +0.000982	 -3.078223	 -0.136350	 +1.499180	 +15.469857	 +15.033273	 -14.868855
4392475	 +0.029465	 +0.106282	 +9.686079	 -0.005904	 +0.002638	 -0.000344	 -3.078251	 -0.136396	 +1.499514	 +15.472035	 +15.043451	 -14.868945
4397475	 +0.029546	 +0.106117	 +9.706766	 -0.005833	 +0.002110	 -0.000703	 -3.078280	 -0.136441	 +1.499851	 +15.474204	 +15.053647	 -14.869137
4402475	 +0.039632	 +0.104278	 +9.679834	 -0.005452	 +0.002657	 -0.000589	 -3.078306	 -0.136487	 +1.500186	 +15.476374	 +15.063877	 -14.869187
4402475	 +0.039632	 +0.104278	 +9.679834	 -0.005452	 +0.002657	 -0.000589	 -3.078306	 -0.136487	 +1.500186	 +15.476374	 +15.063877	 -14.869187
4407475	 +0.049140	 +0.077547	 +9.668195	 -0.006764	 +0.002817	 -0.000297	 -3.078339	 -0.136535	 +1.500520	 +15.478414	 +15.074158	 -14.869165
4412474	 +0.040398	 +0.087241	 +9.662845	 -0.006816	 +0.002698	 +0.000176	 -3.078372	 -0.136582	 +1.500852	 +15.480500	 +15.084391	 -14.869125
4417475	 +0.025291	 +0.103647	 +9.710334	 -0.006093	 +0.002225	 -0.000437	 -3.078402	 -0.136626	 +1.501187	 +15.482648	 +15.094581	 -14.869334
4422475	 +0.032032	 +0.114528	 +9.684108	 -0.005556	 +0.000531	 +0.000363	 -3.078428	 -0.136662	 +1.501518	 +15.484858	 +15.104785	 -14.869412
4427475	 +0.053207	 +0.096001	 +9.715361	 -0.005828	 +0.002309	 +0.000514	 -3.078456	 -0.136707	 +1.501849	 +15.486972	 +15.115124	 -14.869624
4432475	 +0.047091	 +0.088923	 +9.735001	 -0.005492	 +0.002359	 -0.000416	 -3.078483	 -0.136752	 +1.502183	 +15.489042	 +15.125451	 -14.869935
4437475	 +0.053023	 +0.075582	 +9.665679	 -0.006405	 +0.002351	 -0.000919	 -3.078514	 -0.136798	 +1.502521	 +15.491064	 +15.135765	 -14.869895
4442475	 +0.043321	 +0.085766	 +9.701446	 -0.006290	 +0.002302	 +0.000851	 -3.078544	 -0.136842	 +1.502849	 +15.493122	 +15.146057	 -14.870040
4447475	 +0.027439	 +0.143314	 +9.688159	 -0.006380	 +0.001744	 +0.001118	 -3.078574	 -0.136884	 +1.503177	 +15.495464	 +15.156246	 -14.870149
4452476	 +0.038194	 +0.092716	 +9.679045	 -0.006969	 +0.002513	 +0.000417	 -3.078608	 -0.136930	 +1.503507	 +15.497558	 +15.166500	 -14.870188
4457475	 +0.018256	 +0.087948	 +9.698516	 -0.006147	 +0.002606	 +0.000870	 -3.078637	 -0.136976	 +1.503835	 +15.499614	 +15.176673	 -14.870335
4462475	 +0.049245	 +0.120609	 +9.696182	 -0.006154	 +0.002462	 +0.000114	 -3.078667	 -0.137021	 +1.504168	 +15.501843	 +15.186990	 -14.870459
4467476	 +0.057293	 +0.100768	 +9.693866	 -0.005601	 +0.001209	 -0.000232	 -3.078694	 -0.137061	 +1.504502	 +15.503974	 +15.197355	 -14.870560
4472475	 +0.048535	 +0.094369	 +9.659937	 -0.005680	 +0.002897	 +0.000813	 -3.078721	 -0.137108	 +1.504830	 +15.506077	 +15.207656	 -14.870496
4477498	 +0.042745	 +0.109767	 +9.673338	 -0.006741	 +0.002833	 -0.000141	 -3.078754	 -0.137156	 +1.505164	 +15.508249	 +15.217938	 -14.870507
4482746	 +0.045603	 +0.105505	 +9.636980	 -0.006290	 +0.002969	 +0.000293	 -3.078784	 -0.137204	 +1.505495	 +15.510409	 +15.228212	 -14.870334
4487745	 +0.048728	 +0.107814	 +9.702871	 -0.005421	 +0.003129	 -0.000007	 -3.078810	 -0.137253	 +1.505827	 +15.512563	 +15.238550	 -14.870485
4492711	 +0.039201	 +0.108265	 +9.696094	 -0.005769	 +0.002943	 +0.000406	 -3.078838	 -0.137300	 +1.506158	 +15.514716	 +15.248838	 -14.870609
4497475	 +0.026149	 +0.082395	 +9.681808	 -0.005646	 +0.003757	 +0.000985	 -3.077059	 -0.135140	 +1.508051	 +15.020534	 +15.033565	 -14.950337
4502475	 +0.022810	 +0.088336	 +9.656678	 -0.007128	 +0.003020	 +0.001192	 -3.076656	 -0.134654	 +1.508755	 +14.902660	 +14.989203	 -14.969531
4507475	 +0.039849	 +0.110835	 +9.694075	 -0.005542	 +0.002820	 -0.000374	 -3.076577	 -0.134573	 +1.509181	 +14.875744	 +14.986224	 -14.974318
4512475	 +0.055304	 +0.131207	 +9.739722	 -0.006462	 +0.002191	 +0.000299	 -3.076582	 -0.134587	 +1.509534	 +14.870855	 +14.993316	 -14.975804
4517476	 +0.037805	 +0.130116	 +9.717409	 -0.005673	 +0.002096	 +0.000662	 -3.076602	 -0.134624	 +1.509868	 +14.871257	 +15.002715	 -14.976340
4522475	 +0.033393	 +0.107536	 +9.712472	 -0.005715	 +0.001718	 -0.000661	 -3.076628	 -0.134664	 +1.510206	 +14.872823	 +15.012679	 -14.976642
4527475	 +0.027599	 +0.092629	 +9.700997	 -0.006746	 +0.003810	 -0.000275	 -3.076660	 -0.134717	 +1.510539	 +14.874623	 +15.022752	 -14.976836
4532475	 +0.029753	 +0.115833	 +9.711126	 -0.005934	 +0.002088	 +0.000361	 -3.076687	 -0.134761	 +1.510870	 +14.876611	 +15.032875	 -14.977074
4537476	 +0.016476	 +0.111566	 +9.711007	 -0.005254	 +0.001984	 +0.000332	 -3.076712	 -0.134805	 +1.511201	 +14.878588	 +15.042944	 -14.977315
4542475	 +0.019638	 +0.125712	 +9.686801	 -0.005874	 +0.002317	 -0.000016	 -3.076739	 -0.134850	 +1.511534	 +14.880647	 +15.053013	 -14.977438
4547475	 +0.036619	 +0.101867	 +9.679520	 -0.005548	 +0.002069	 +0.000522	 -3.076765	 -0.134894	 +1.511864	 +14.882594	 +15.063170	 -14.977505
4552475	 +0.046503	 +0.113078	 +9.705480	 -0.005842	 +0.002197	 +0.000574	 -3.076792	 -0.134939	 +1.512194	 +14.884589	 +15.073394	 -14.977697
4557475	 +0.034602	 +0.130873	 +9.708551	 -0.006140	 +0.002241	 +0.000163	 -3.076821	 -0.134984	 +1.512526	 +14.886668	 +15.083560	 -14.977917
4562475	 +0.022479	 +0.104075	 +9.713340	 -0.005072	 +0.003415	 -0.000101	 -3.076845	 -0.135035	 +1.512858	 +14.888605	 +15.093678	 -14.978160
4567475	 +0.048550	 +0.113699	 +9.704930	 -0.004972	 +0.001689	 +0.000482	 -3.076868	 -0.135077	 +1.513189	 +14.890599	 +15.103920	 -14.978346
4572474	 +0.039862	 +0.098452	 +9.674944	 -0.006461	 +0.002735	 -0.000501	 -3.076899	 -0.135125	 +1.513524	 +14.892521	 +15.114106	 -14.978384
4577476	 +0.022832	 +0.115648	 +9.699264	 -0.005918	 +0.003033	 +0.000186	 -3.076927	 -0.135174	 +1.513855	 +14.894515	 +15.124222	 -14.978559
4582474	 +0.024316	 +0.108693	 +9.718339	 -0.006111	 +0.001722	 -0.000613	 -3.076957	 -0.135217	 +1.514191	 +14.896467	 +15.134364	 -14.978825
4587476	 +0.033017	 +0.107385	 +9.722114	 -0.005310	 +0.003281	 +0.000540	 -3.076981	 -0.135267	 +1.514521	 +14.898413	 +15.144555	 -14.979102
4592475	 +0.035790	 +0.123403	 +9.722433	 -0.006674	 +0.003085	 -0.000005	 -3.077013	 -0.135316	 +1.514853	 +14.900438	 +15.154759	 -14.979384
4597475	 +0.025254	 +0.096127	 +9.690691	 -0.007380	 +0.001456	 +0.000228	 -3.077048	 -0.135357	 +1.515185	 +14.902331	 +15.164898	 -14.979507
4602475	 +0.032331	 +0.120227	 +9.688404	 -0.006540	 +0.001383	 +0.000143	 -3.077080	 -0.135398	 +1.515517	 +14.904344	 +15.175067	 -14.979622
4602475	 +0.032331	 +0.120227	 +9.688404	 -0.006540	 +0.001383	 +0.000143	 -3.077080	 -0.135398	 +1.515517	 +14.904344	 +15.175067	 -14.979622
4607475	 +0.056055	 +0.108167	 +9.704977	 -0.007020	 +0.002656	 +0.000787	 -3.077113	 -0.135444	 +1.515846	 +14.906298	 +15.185370	 -14.979798
4612476	 +0.034023	 +0.110838	 +9.690062	 -0.006174	 +0.000924	 +0.000116	 -3.077142	 -0.135483	 +1.516178	 +14.908262	 +15.195557	 -14.979915
4617475	 +0.034612	 +0.091276	 +9.679067	 -0.007572	 +0.002420	 +0.000259	 -3.077178	 -0.135528	 +1.516509	 +14.910129	 +15.205745	 -14.979970
4622475	 +0.042471	 +0.085153	 +9.698670	 -0.007226	 +0.002690	 -0.000554	 -3.077213	 -0.135576	 +1.516845	 +14.911961	 +15.215990	 -14.980115
4627475	 +0.042409	 +0.090594	 +9.658565	 -0.005034	 +0.002957	 -0.000235	 -3.077237	 -0.135624	 +1.517178	 +14.913830	 +15.226209	 -14.980064
4632476	 +0.012364	 +0.083027	 +9.691720	 -0.005517	 +0.002293	 -0.000213	 -3.077264	 -0.135670	 +1.517512	 +14.915642	 +15.236307	 -14.980193
4637475	 +0.056193	 +0.119438	 +9.701399	 -0.006534	 +0.001620	 -0.000024	 -3.077295	 -0.135712	 +1.517845	 +14.917642	 +15.246623	 -14.980352
4642475	 +0.036881	 +0.118280	 +9.668370	 -0.006861	 +0.001190	 +0.001009	 -3.077327	 -0.135751	 +1.518173	 +14.919639	 +15.256823	 -14.980359
4647476	 +0.044631	 +0.072268	 +9.693624	 -0.006200	 +0.004029	 +0.002199	 -3.077355	 -0.135804	 +1.518494	 +14.921400	 +15.267091	 -14.980470
4652475	 +0.039920	 +0.088269	 +9.728397	 -0.005451	 +0.003738	 +0.000330	 -3.077381	 -0.135856	 +1.518825	 +14.923228	 +15.277360	 -14.980762
4657475	 +0.026598	 +0.093736	 +9.706684	 -0.006437	 +0.002255	 -0.000074	 -3.077412	 -0.135901	 +1.519158	 +14.925084	 +15.287551	 -14.980956
4662476	 +0.004671	 +0.109351	 +9.685766	 -0.007795	 +0.001261	 +0.000033	 -3.077450	 -0.135941	 +1.519491	 +14.927016	 +15.297617	 -14.981067
4667475	 +0.029839	 +0.127807	 +9.666801	 -0.006551	 +0.002360	 +0.000233	 -3.077481	 -0.135987	 +1.519822	 +14.929051	 +15.307793	 -14.981072
4672475	 +0.060914	 +0.108277	 +9.687755	 -0.005930	 +0.002405	 -0.000021	 -3.077509	 -0.136032	 +1.520155	 +14.930989	 +15.318145	 -14.981153
4677498	 +0.041140	 +0.101202	 +9.697274	 -0.006540	 +0.003688	 +0.000724	 -3.077540	 -0.136084	 +1.520483	 +14.932882	 +15.328409	 -14.981291
4682746	 +0.036061	 +0.140558	 +9.698743	 -0.005611	 +0.001831	 +0.000604	 -3.077567	 -0.136127	 +1.520813	 +14.934967	 +15.338645	 -14.981451
4687746	 +0.062269	 +0.129777	 +9.682338	 -0.005987	 +0.001522	 +0.000009	 -3.077596	 -0.136168	 +1.521146	 +14.937008	 +15.349003	 -14.981510
4692711	 +0.045504	 +0.101355	 +9.698123	 -0.004487	 +0.002724	 +0.000365	 -3.077616	 -0.136215	 +1.521477	 +14.938897	 +15.359298	 -14.981648
4697475	 +0.043194	 +0.104580	 +9.702252	 -0.004722	 +0.003317	 +0.000352	 -3.075958	 -0.134100	 +1.523271	 +14.484791	 +15.140391	 -15.052741
4702475	 +0.031848	 +0.103551	 +9.728246	 -0.005085	 +0.002682	 +0.000390	 -3.075576	 -0.133625	 +1.523954	 +14.376460	 +15.095197	 -15.070187
4707475	 +0.001228	 +0.107033	 +9.681538	 -0.005772	 +0.001695	 +0.000482	 -3.075505	 -0.133542	 +1.524370	 +14.351643	 +15.091775	 -15.074437
4712475	 +0.023486	 +0.098720	 +9.700907	 -0.006080	 +0.002001	 -0.000040	 -3.075509	 -0.133555	 +1.524723	 +14.346941	 +15.098610	 -15.075628
4717475	 +0.073703	 +0.087273	 +9.709091	 -0.006159	 +0.003533	 -0.000369	 -3.075533	 -0.133600	 +1.525062	 +14.347058	 +15.108150	 -15.076066
4722475	 +0.025602	 +0.088333	 +9.682969	 -0.004379	 +0.003280	 +0.000315	 -3.075551	 -0.133649	 +1.525394	 +14.348349	 +15.118028	 -15.076224
4727476	 +0.038584	 +0.117710	 +9.671235	 -0.005683	 +0.001654	 +0.000444	 -3.075577	 -0.133691	 +1.525725	 +14.350076	 +15.128102	 -15.076279
4732475	 +0.036700	 +0.118258	 +9.683014	 -0.007301	 +0.001518	 -0.000831	 -3.075612	 -0.133733	 +1.526062	 +14.351867	 +15.138211	 -15.076384
4737475	 +0.039274	 +0.089572	 +9.659205	 -0.006116	 +0.002339	 -0.000198	 -3.075640	 -0.133779	 +1.526395	 +14.353538	 +15.148333	 -15.076356
4742476	 +0.035995	 +0.078232	 +9.687010	 -0.005495	 +0.003566	 +0.001163	 -3.075665	 -0.133831	 +1.526722	 +14.355146	 +15.158465	 -15.076463
4747475	 +0.044087	 +0.104081	 +9.679473	 -0.005610	 +0.001406	 -0.000600	 -3.075692	 -0.133872	 +1.527058	 +14.356885	 +15.168631	 -15.076535
4752475	 +0.036640	 +0.094369	 +9.667430	 -0.005679	 +0.001673	 -0.000583	 -3.075718	 -0.133915	 +1.527393	 +14.358577	 +15.178755	 -15.076549
4757475	 +0.027953	 +0.111145	 +9.704818	 -0.006514	 +0.002177	 +0.000913	 -3.075748	 -0.133960	 +1.527721	 +14.360337	 +15.188862	 -15.076758
4762475	 +0.016777	 +0.102849	 +9.698131	 -0.005439	 +0.003705	 +0.000141	 -3.075774	 -0.134012	 +1.528053	 +14.362054	 +15.198914	 -15.076939
4767475	 +0.003146	 +0.099323	 +9.690694	 -0.005580	 +0.003383	 -0.000305	 -3.075800	 -0.134063	 +1.528386	 +14.363750	 +15.208896	 -15.077091
4772475	 +0.036776	 +0.121053	 +9.676292	 -0.004705	 +0.002547	 -0.000393	 -3.075822	 -0.134111	 +1.528721	 +14.365565	 +15.219034	 -15.077155
4777475	 +0.031276	 +0.113663	 +9.699303	 -0.005803	 +0.002124	 +0.000494	 -3.075848	 -0.134155	 +1.529051	 +14.367332	 +15.229165	 -15.077334
4782476	 +0.053326	 +0.079523	 +9.672191	 -0.006970	 +0.001934	 +0.000609	 -3.075881	 -0.134199	 +1.529380	 +14.368940	 +15.239395	 -15.077352
4787475	 +0.023463	 +0.065300	 +9.688090	 -0.005351	 +0.002369	 -0.000053	 -3.075906	 -0.134245	 +1.529713	 +14.370464	 +15.249492	 -15.077465
4792475	 +0.029052	 +0.122310	 +9.698999	 -0.005893	 +0.001664	 -0.000131	 -3.075934	 -0.134287	 +1.530047	 +14.372268	 +15.259619	 -15.077645
4797476	 +0.008521	 +0.119159	 +9.684267	 -0.006180	 +0.002648	 +0.001384	 -3.075962	 -0.134334	 +1.530372	 +14.374055	 +15.269637	 -15.077765
4802475	 +0.034109	 +0.105543	 +9.657472	 -0.006108	 +0.003885	 +0.000520	 -3.075990	 -0.134388	 +1.530701	 +14.375785	 +15.279768	 -15.077730
4802475	 +0.034109	 +0.105543	 +9.657472	 -0.006108	 +0.003885	 +0.000520	 -3.075990	 -0.134388	 +1.530701	 +14.375785	 +15.279768	 -15.077730
4807475	 +0.053101	 +0.104182	 +9.672217	 -0.005892	 +0.004223	 +0.000653	 -3.076017	 -0.134443	 +1.531030	 +14.377507	 +15.290006	 -15.077754
4812475	 +0.015364	 +0.086015	 +9.700594	 -0.005251	 +0.001967	 -0.000222	 -3.076042	 -0.134487	 +1.531364	 +14.379120	 +15.300084	 -15.077938
4817475	 +0.055103	 +0.108929	 +9.687414	 -0.005702	 +0.001023	 +0.000880	 -3.076068	 -0.134526	 +1.531692	 +14.380856	 +15.310348	 -15.078036
4822475	 +0.030781	 +0.121162	 +9.664716	 -0.007031	 +0.001663	 +0.000440	 -3.076101	 -0.134568	 +1.532023	 +14.382654	 +15.320477	 -15.078043
4827475	 +0.028075	 +0.113410	 +9.700311	 -0.006505	 +0.004204	 +0.000146	 -3.076132	 -0.134623	 +1.532354	 +14.384400	 +15.330620	 -15.078224
4832476	 +0.036051	 +0.109969	 +9.704577	 -0.004764	 +0.004249	 +0.000762	 -3.076154	 -0.134678	 +1.532682	 +14.386128	 +15.340810	 -15.078419
4837475	 +0.046712	 +0.117575	 +9.708989	 -0.005417	 +0.002723	 -0.000014	 -3.076179	 -0.134726	 +1.533015	 +14.387892	 +15.351057	 -15.078630
4842475	 +0.021601	 +0.113022	 +9.701634	 -0.005381	 +0.001818	 +0.000586	 -3.076204	 -0.134769	 +1.533345	 +14.389629	 +15.361178	 -15.078820
4847475	 +0.024245	 +0.060816	 +9.690428	 -0.006733	 +0.003114	 +0.000448	 -3.076235	 -0.134818	 +1.533675	 +14.391107	 +15.371315	 -15.078935
4852476	 +0.009643	 +0.088123	 +9.673832	 -0.007094	 +0.002905	 +0.000658	 -3.076269	 -0.134867	 +1.534004	 +14.392722	 +15.381368	 -15.078987
4857475	 +0.024144	 +0.112867	 +9.654400	 -0.005419	 +0.002342	 -0.000483	 -3.076295	 -0.134912	 +1.534339	 +14.394468	 +15.391479	 -15.078940
4862476	 +0.032851	 +0.126885	 +9.688906	 -0.007518	 +0.001251	 +0.000657	 -3.076330	 -0.134953	 +1.534668	 +14.396272	 +15.401657	 -15.079062
4867475	 +0.017950	 +0.123651	 +9.718843	 -0.006103	 +0.002241	 -0.000402	 -3.076360	 -0.134998	 +1.535003	 +14.398048	 +15.411785	 -15.079340
4872475	 +0.025043	 +0.090804	 +9.708086	 -0.006040	 +0.003268	 +0.000651	 -3.076388	 -0.135048	 +1.535332	 +14.399662	 +15.421947	 -15.079550
4877493	 +0.030018	 +0.085060	 +9.705480	 -0.005481	 +0.002083	 +0.000806	 -3.076413	 -0.135092	 +1.535660	 +14.401248	 +15.432137	 -15.079741
4882746	 +0.019554	 +0.101355	 +9.721095	 -0.005457	 +0.001544	 -0.000186	 -3.076439	 -0.135134	 +1.535994	 +14.402906	 +15.442285	 -15.080021
4887746	 +0.018144	 +0.125038	 +9.675724	 -0.005528	 +0.003325	 -0.000627	 -3.076465	 -0.135185	 +1.536330	 +14.404694	 +15.452395	 -15.080084
4892716	 +0.023899	 +0.098334	 +9.682309	 -0.005840	 +0.002963	 +0.000698	 -3.076492	 -0.135233	 +1.536659	 +14.406345	 +15.462544	 -15.080168
4897475	 +0.004899	 +0.100062	 +9.696413	 -0.007099	 +0.003393	 +0.000779	 -3.074951	 -0.133156	 +1.538371	 +13.986851	 +15.239998	 -15.143743
4902475	 +0.038501	 +0.100006	 +9.691639	 -0.006560	 +0.002674	 +0.000676	 -3.074601	 -0.132690	 +1.539035	 +13.886718	 +15.193960	 -15.159195
4907476	 +0.006523	 +0.110217	 +9.688108	 -0.005531	 +0.001713	 +0.000489	 -3.074534	 -0.132609	 +1.539446	 +13.863739	 +15.190341	 -15.163044
4912476	 +0.032916	 +0.116140	 +9.667007	 -0.006286	 +0.001412	 -0.000138	 -3.074541	 -0.132621	 +1.539798	 +13.859417	 +15.197121	 -15.163971
4917475	 +0.026775	 +0.093648	 +9.688968	 -0.004899	 +0.002351	 +0.000391	 -3.074558	 -0.132660	 +1.540134	 +13.859468	 +15.206372	 -15.164325
4922475	 +0.013542	 +0.109103	 +9.697292	 -0.005052	 +0.003014	 -0.000085	 -3.074580	 -0.132707	 +1.540467	 +13.860675	 +15.216164	 -15.164571
4927475	 +0.024794	 +0.120132	 +9.681319	 -0.006267	 +0.002194	 +0.000690	 -3.074608	 -0.132752	 +1.540797	 +13.862203	 +15.226148	 -15.164694
4932475	 +0.039163	 +0.118137	 +9.677719	 -0.006934	 +0.001129	 +0.000518	 -3.074640	 -0.132792	 +1.541127	 +13.863787	 +15.236238	 -15.164778
4937475	 +0.035600	 +0.090302	 +9.678508	 -0.007073	 +0.002150	 +0.001116	 -3.074672	 -0.132837	 +1.541454	 +13.865244	 +15.246325	 -15.164858
4942475	 +0.023991	 +0.105432	 +9.677511	 -0.005175	 +0.003801	 +0.000450	 -3.074696	 -0.132891	 +1.541783	 +13.866778	 +15.256357	 -15.164943
4947476	 +0.011574	 +0.087001	 +9.702140	 -0.004368	 +0.002831	 +0.000574	 -3.074715	 -0.132939	 +1.542113	 +13.868209	 +15.266349	 -15.165152
4952475	 +0.023527	 +0.120170	 +9.678788	 -0.005421	 +0.002948	 -0.000341	 -3.074740	 -0.132988	 +1.542447	 +13.869813	 +15.276384	 -15.165248
4957475	 +0.018387	 +0.097051	 +9.727205	 -0.006421	 +0.001790	 -0.000335	 -3.074770	 -0.133032	 +1.542781	 +13.871283	 +15.286432	 -15.165579
4962475	 +0.028468	 +0.086596	 +9.722565	 -0.006077	 +0.002206	 +0.000668	 -3.074798	 -0.133077	 +1.543110	 +13.872702	 +15.296529	 -15.165875
4967475	 +0.052190	 +0.099247	 +9.715707	 -0.005019	 +0.003262	 -0.000097	 -3.074821	 -0.133128	 +1.543443	 +13.874188	 +15.306742	 -15.166126
