Message ID	Frame counter	Reserved	Message length	GNSS Week Number	GNSS TOW	Timestamp [us]	Bias AccX [m/s²]	Bias AccY [m/s²	]Bias AccZ [m/s²]	Bias OmgX [°/s]	Bias OmgY [°/s]	Bias OmgZ [°/s]	Cov. Longitude [(deg)²]	Cov. Latitude [(deg)²]	Cov. Altitude [(m)²]	Cov. V_North [(m/s)²]	Cov. V_East [(m/s)²]	Cov. V_Down [(m/s)²]	Cov. Roll [(deg²)]	Cov. Pitch [(deg²)]	Cov. Yaw [(deg²)]	Cov. Bias AccX [(m/s²)²]	Cov. Bias AccY [(m/s²)²]	Cov. Bias AccZ [(m/s²)²]	Cov. Bias OmgX [(deg/s)²]	Cov. Bias OmgY [(deg/s)²]	Cov. Bias OmgZ [(deg/s)²]	Reserved
4	 47	 0	 104	 0	 1584000	 4008462	 +0.3961	 -2.0328	 -0.3738	 -0.7835	 +0.8969	 +3.7123	 7.926491e-14	 5.590236e-14	 2.000338e+00	 3.817360e-02	 2.368520e-02	 1.130916e-02	 5.290463e-06	 4.408205e-06	 1.002049e-05	 4.291847e-06	 2.879449e-06	 1.040731e-06	 9.317227e-10	 9.289502e-10	 1.021382e-09	 0
4	 48	 0	 104	 0	 1585000	 5008469	 +0.3903	 -2.0402	 -0.3754	 -0.7780	 +0.9055	 +3.7119	 7.344392e-14	 5.586036e-14	 1.974812e+00	 3.264914e-02	 2.348050e-02	 1.008250e-02	 5.350717e-06	 4.074534e-06	 1.017624e-05	 4.287714e-06	 2.857362e-06	 1.038374e-06	 9.296334e-10	 9.274629e-10	 1.022675e-09	 0
4	 49	 0	 104	 0	 1586000	 6008462	 +0.3861	 -2.0446	 -0.3760	 -0.7737	 +0.9124	 +3.7116	 6.945421e-14	 5.581726e-14	 1.955891e+00	 2.913772e-02	 2.329270e-02	 9.191490e-03	 5.394641e-06	 3.888871e-06	 1.035633e-05	 4.284504e-06	 2.838949e-06	 1.036370e-06	 9.277846e-10	 9.264479e-10	 1.023975e-09	 0
4	 50	 0	 104	 0	 1587000	 7008469	 +0.3826	 -2.0471	 -0.3760	 -0.7702	 +0.9183	 +3.7116	 6.653196e-14	 5.577195e-14	 1.940735e+00	 2.680147e-02	 2.314854e-02	 8.514863e-03	 5.419334e-06	 3.787179e-06	 1.055637e-05	 4.281727e-06	 2.822558e-06	 1.034553e-06	 9.260711e-10	 9.256790e-10	 1.025258e-09	 0
4	 51	 0	 104	 0	 1588000	 8008469	 +0.3796	 -2.0484	 -0.3756	 -0.7670	 +0.9236	 +3.7119	 6.429250e-14	 5.572440e-14	 1.927942e+00	 2.522512e-02	 2.305876e-02	 7.981804e-03	 5.423165e-06	 3.736782e-06	 1.077169e-05	 4.279139e-06	 2.807367e-06	 1.032840e-06	 9.244424e-10	 9.250344e-10	 1.026500e-09	 0
4	 52	 0	 104	 0	 1589000	 9008469	 +0.3774	 -2.0509	 -0.3760	 -0.7649	 +0.9272	 +3.7122	 6.267954e-14	 5.567776e-14	 1.930763e+00	 2.446536e-02	 2.304744e-02	 7.785599e-03	 5.419511e-06	 3.744388e-06	 1.100476e-05	 4.276726e-06	 2.795780e-06	 1.032132e-06	 9.229674e-10	 9.247729e-10	 1.027684e-09	 0
4	 53	 0	 104	 0	 1590000	 8469	 +0.3753	 -2.0532	 -0.3765	 -0.7629	 +0.9306	 +3.7127	 6.138940e-14	 5.563338e-14	 1.936841e+00	 2.404106e-02	 2.309072e-02	 7.689090e-03	 5.398570e-06	 3.767462e-06	 1.124405e-05	 4.274296e-06	 2.786043e-06	 1.031790e-06	 9.215368e-10	 9.245081e-10	 1.028798e-09	 0
4	 54	 0	 104	 0	 1591000	 1008462	 +0.3732	 -2.0550	 -0.3767	 -0.7610	 +0.9340	 +3.7135	 6.031785e-14	 5.559229e-14	 1.942500e+00	 2.380336e-02	 2.317436e-02	 7.619497e-03	 5.357972e-06	 3.795166e-06	 1.148292e-05	 4.271811e-06	 2.777210e-06	 1.031537e-06	 9.201211e-10	 9.241357e-10	 1.029837e-09	 0
4	 55	 0	 104	 0	 1592000	 2008469	 +0.3712	 -2.0561	 -0.3767	 -0.7591	 +0.9375	 +3.7145	 5.942533e-14	 5.555558e-14	 1.947760e+00	 2.369858e-02	 2.328399e-02	 7.568158e-03	 5.299284e-06	 3.825779e-06	 1.171734e-05	 4.269277e-06	 2.769048e-06	 1.031329e-06	 9.187173e-10	 9.236543e-10	 1.030797e-09	 0
4	 56	 0	 104	 0	 1593000	 3008471	 +0.3693	 -2.0568	 -0.3765	 -0.7573	 +0.9410	 +3.7156	 5.868252e-14	 5.552401e-14	 1.952636e+00	 2.368186e-02	 2.341719e-02	 7.522725e-03	 5.224727e-06	 3.858403e-06	 1.194446e-05	 4.266708e-06	 2.761371e-06	 1.031136e-06	 9.173221e-10	 9.230700e-10	 1.031682e-09	 0
