Timestamp [us]	AccX [m/s²]	AccY [m/s²]	AccZ [m/s²]	OmgX [rad/s]	OmgY [rad/s]	OmgZ [rad/s]	NRpyX [rad]	NRpyY [rad]	NRpyZ [rad]
4542469	 +0.018181	 +0.018021	 +0.023698	 +0.000925	 +0.000798	 +0.000851	 +0.008408	 +0.030492	 +0.067677
4547469	 +0.018180	 +0.018013	 +0.023701	 +0.000924	 +0.000799	 +0.000851	 +0.008420	 +0.030504	 +0.067676
4552469	 +0.018179	 +0.018005	 +0.023709	 +0.000924	 +0.000799	 +0.000851	 +0.008433	 +0.030515	 +0.067677
4557469	 +0.018174	 +0.017992	 +0.023725	 +0.000925	 +0.000799	 +0.000849	 +0.008446	 +0.030526	 +0.067678
4562469	 +0.018171	 +0.017993	 +0.023726	 +0.000926	 +0.000800	 +0.000849	 +0.008461	 +0.030536	 +0.067680
4567462	 +0.018174	 +0.018000	 +0.023777	 +0.000925	 +0.000800	 +0.000849	 +0.008477	 +0.030546	 +0.067683
4572469	 +0.018165	 +0.018002	 +0.023749	 +0.000923	 +0.000800	 +0.000849	 +0.008493	 +0.030556	 +0.067686
4577469	 +0.018166	 +0.017978	 +0.023744	 +0.000923	 +0.000801	 +0.000849	 +0.008511	 +0.030565	 +0.067690
4582469	 +0.018164	 +0.017983	 +0.023732	 +0.000924	 +0.000801	 +0.000849	 +0.008529	 +0.030575	 +0.067696
4587469	 +0.018154	 +0.017973	 +0.023729	 +0.000924	 +0.000801	 +0.000850	 +0.008549	 +0.030584	 +0.067701
4592469	 +0.018148	 +0.017968	 +0.023743	 +0.000926	 +0.000802	 +0.000850	 +0.008569	 +0.030592	 +0.067708
4597469	 +0.018153	 +0.017991	 +0.023744	 +0.000926	 +0.000804	 +0.000850	 +0.008590	 +0.030600	 +0.067716
4602469	 +0.018162	 +0.017992	 +0.023758	 +0.000925	 +0.000803	 +0.000852	 +0.008612	 +0.030608	 +0.067724
4607469	 +0.018162	 +0.017972	 +0.023781	 +0.000925	 +0.000803	 +0.000852	 +0.008635	 +0.030616	 +0.067733
4607469	 +0.018162	 +0.017972	 +0.023781	 +0.000925	 +0.000803	 +0.000852	 +0.008635	 +0.030616	 +0.067733
4612469	 +0.018143	 +0.017973	 +0.023776	 +0.000925	 +0.000803	 +0.000852	 +0.008659	 +0.030623	 +0.067743
4617469	 +0.018123	 +0.017959	 +0.023790	 +0.000923	 +0.000801	 +0.000852	 +0.008684	 +0.030630	 +0.067754
4622469	 +0.018112	 +0.017969	 +0.023755	 +0.000923	 +0.000801	 +0.000851	 +0.008709	 +0.030637	 +0.067765
4627469	 +0.018109	 +0.017923	 +0.023750	 +0.000925	 +0.000801	 +0.000851	 +0.008736	 +0.030643	 +0.067777
4632469	 +0.018128	 +0.017922	 +0.023761	 +0.000925	 +0.000802	 +0.000851	 +0.008763	 +0.030649	 +0.067790
