Timestamp [us]	AccX [m/s²]	AccY [m/s²]	AccZ [m/s²]	OmgX [rad/s]	OmgY [rad/s]	OmgZ [rad/s]	NRpyX [rad]	NRpyY [rad]	NRpyZ [rad]
9331476	 +0.017748	 +0.017950	 +0.022661	 +0.000870	 +0.000758	 +0.000792	 +0.001916	 +0.003119	 +0.098046
9336475	 +0.017696	 +0.017951	 +0.022648	 +0.000871	 +0.000758	 +0.000793	 +0.001917	 +0.003118	 +0.098045
9341475	 +0.017725	 +0.017960	 +0.022640	 +0.000871	 +0.000758	 +0.000794	 +0.001917	 +0.003117	 +0.098045
9346475	 +0.017722	 +0.017958	 +0.022623	 +0.000870	 +0.000758	 +0.000794	 +0.001918	 +0.003116	 +0.098044
9351475	 +0.017737	 +0.017958	 +0.022614	 +0.000871	 +0.000758	 +0.000794	 +0.001919	 +0.003116	 +0.098044
9356475	 +0.017739	 +0.017964	 +0.022626	 +0.000871	 +0.000758	 +0.000794	 +0.001919	 +0.003115	 +0.098043
9361475	 +0.017739	 +0.017979	 +0.022637	 +0.000870	 +0.000759	 +0.000794	 +0.001920	 +0.003114	 +0.098043
9366475	 +0.017738	 +0.017971	 +0.022633	 +0.000871	 +0.000759	 +0.000794	 +0.001921	 +0.003113	 +0.098042
9371476	 +0.017743	 +0.017968	 +0.022615	 +0.000871	 +0.000759	 +0.000794	 +0.001921	 +0.003112	 +0.098042
9376476	 +0.017791	 +0.017953	 +0.022636	 +0.000872	 +0.000757	 +0.000794	 +0.001922	 +0.003111	 +0.098041
9381475	 +0.017856	 +0.017958	 +0.022666	 +0.000871	 +0.000757	 +0.000794	 +0.001923	 +0.003110	 +0.098040
9386475	 +0.017801	 +0.017877	 +0.022666	 +0.000872	 +0.000757	 +0.000795	 +0.001923	 +0.003109	 +0.098040
9391475	 +0.017782	 +0.017876	 +0.022680	 +0.000873	 +0.000759	 +0.000796	 +0.001924	 +0.003107	 +0.098039
9396476	 +0.017748	 +0.017880	 +0.022682	 +0.000873	 +0.000758	 +0.000797	 +0.001924	 +0.003106	 +0.098038
9401475	 +0.017738	 +0.017880	 +0.022629	 +0.000873	 +0.000757	 +0.000797	 +0.001925	 +0.003105	 +0.098038
9401475	 +0.017738	 +0.017880	 +0.022629	 +0.000873	 +0.000757	 +0.000797	 +0.001925	 +0.003105	 +0.098038
9406475	 +0.017729	 +0.017887	 +0.022628	 +0.000873	 +0.000757	 +0.000798	 +0.001925	 +0.003104	 +0.098037
9411475	 +0.017731	 +0.017860	 +0.022633	 +0.000873	 +0.000757	 +0.000798	 +0.001926	 +0.003103	 +0.098036
9416475	 +0.017717	 +0.017835	 +0.022637	 +0.000873	 +0.000758	 +0.000798	 +0.001926	 +0.003101	 +0.098036
9421475	 +0.017716	 +0.017841	 +0.022628	 +0.000874	 +0.000758	 +0.000797	 +0.001927	 +0.003100	 +0.098035
9426475	 +0.017714	 +0.017836	 +0.022627	 +0.000875	 +0.000759	 +0.000798	 +0.001927	 +0.003099	 +0.098034
9431475	 +0.017712	 +0.017847	 +0.022620	 +0.000875	 +0.000759	 +0.000798	 +0.001928	 +0.003097	 +0.098033
9436475	 +0.017756	 +0.017850	 +0.022626	 +0.000875	 +0.000759	 +0.000797	 +0.001928	 +0.003096	 +0.098033
9441476	 +0.017744	 +0.017849	 +0.022659	 +0.000875	 +0.000759	 +0.000798	 +0.001929	 +0.003094	 +0.098032
9446475	 +0.017771	 +0.017849	 +0.022618	 +0.000875	 +0.000757	 +0.000798	 +0.001929	 +0.003093	 +0.098031
9451475	 +0.017770	 +0.017841	 +0.022620	 +0.000875	 +0.000756	 +0.000798	 +0.001930	 +0.003091	 +0.098030
9456475	 +0.017718	 +0.017843	 +0.022628	 +0.000874	 +0.000755	 +0.000797	 +0.001930	 +0.003089	 +0.098029
9461475	 +0.017713	 +0.017809	 +0.022629	 +0.000874	 +0.000755	 +0.000797	 +0.001930	 +0.003088	 +0.098029
9466475	 +0.017714	 +0.017809	 +0.022620	 +0.000874	 +0.000758	 +0.000797	 +0.001931	 +0.003086	 +0.098028
9471498	 +0.017698	 +0.017814	 +0.022638	 +0.000875	 +0.000758	 +0.000797	 +0.001931	 +0.003084	 +0.098027
9476492	 +0.017699	 +0.017896	 +0.022642	 +0.000876	 +0.000758	 +0.000797	 +0.001931	 +0.003082	 +0.098026
9481746	 +0.017700	 +0.017896	 +0.022649	 +0.000876	 +0.000759	 +0.000797	 +0.001932	 +0.003081	 +0.098025
9486750	 +0.017713	 +0.017962	 +0.022662	 +0.000876	 +0.000759	 +0.000796	 +0.001932	 +0.003080	 +0.098025
9491711	 +0.017735	 +0.017952	 +0.022758	 +0.000876	 +0.000759	 +0.000796	 +0.001933	 +0.003079	 +0.098024
9496475	 +0.017752	 +0.017949	 +0.022753	 +0.000876	 +0.000760	 +0.000797	 +0.001934	 +0.003079	 +0.098024
9501475	 +0.017757	 +0.017954	 +0.022747	 +0.000876	 +0.000760	 +0.000798	 +0.001935	 +0.003079	 +0.098023
9506475	 +0.017762	 +0.017940	 +0.022747	 +0.000877	 +0.000760	 +0.000798	 +0.001935	 +0.003078	 +0.098023
9511476	 +0.017761	 +0.017942	 +0.022741	 +0.000877	 +0.000761	 +0.000797	 +0.001936	 +0.003078	 +0.098023
9516475	 +0.017744	 +0.017930	 +0.022740	 +0.000877	 +0.000761	 +0.000795	 +0.001937	 +0.003077	 +0.098022
9521475	 +0.017748	 +0.017929	 +0.022835	 +0.000875	 +0.000760	 +0.000796	 +0.001938	 +0.003077	 +0.098022
9526475	 +0.017760	 +0.017922	 +0.022829	 +0.000875	 +0.000761	 +0.000794	 +0.001939	 +0.003076	 +0.098021
9531475	 +0.017763	 +0.017926	 +0.022820	 +0.000875	 +0.000760	 +0.000793	 +0.001939	 +0.003076	 +0.098021
9536475	 +0.017780	 +0.017939	 +0.022822	 +0.000874	 +0.000759	 +0.000793	 +0.001940	 +0.003075	 +0.098020
9541476	 +0.017780	 +0.017935	 +0.022804	 +0.000875	 +0.000758	 +0.000793	 +0.001941	 +0.003074	 +0.098020
9546475	 +0.017782	 +0.017935	 +0.022804	 +0.000877	 +0.000758	 +0.000794	 +0.001941	 +0.003074	 +0.098019
9551475	 +0.017783	 +0.017956	 +0.022766	 +0.000877	 +0.000758	 +0.000794	 +0.001942	 +0.003073	 +0.098019
9556475	 +0.017771	 +0.017946	 +0.022781	 +0.000879	 +0.000758	 +0.000794	 +0.001943	 +0.003072	 +0.098018
9561475	 +0.017792	 +0.017939	 +0.022773	 +0.000879	 +0.000756	 +0.000794	 +0.001943	 +0.003071	 +0.098018
9566475	 +0.017799	 +0.017942	 +0.022773	 +0.000879	 +0.000757	 +0.000794	 +0.001944	 +0.003070	 +0.098017
9571475	 +0.017810	 +0.017962	 +0.022770	 +0.000879	 +0.000757	 +0.000793	 +0.001945	 +0.003069	 +0.098017
9576476	 +0.017811	 +0.017950	 +0.022782	 +0.000880	 +0.000758	 +0.000794	 +0.001945	 +0.003068	 +0.098016
9581475	 +0.017817	 +0.017921	 +0.022782	 +0.000883	 +0.000758	 +0.000794	 +0.001946	 +0.003067	 +0.098015
9586476	 +0.017792	 +0.017899	 +0.022784	 +0.000884	 +0.000758	 +0.000794	 +0.001946	 +0.003066	 +0.098015
9591475	 +0.017801	 +0.017906	 +0.022784	 +0.000884	 +0.000758	 +0.000795	 +0.001947	 +0.003065	 +0.098014
9596476	 +0.017804	 +0.017931	 +0.022782	 +0.000884	 +0.000759	 +0.000791	 +0.001947	 +0.003064	 +0.098013
9601475	 +0.017826	 +0.017936	 +0.022779	 +0.000884	 +0.000759	 +0.000791	 +0.001948	 +0.003062	 +0.098013
9601475	 +0.017826	 +0.017936	 +0.022779	 +0.000884	 +0.000759	 +0.000791	 +0.001948	 +0.003062	 +0.098013
9606475	 +0.017832	 +0.017939	 +0.022773	 +0.000884	 +0.000759	 +0.000792	 +0.001948	 +0.003061	 +0.098012
